94,165.13,193.31,229.10,344.03,572.51,584.19,595.88,607.80,619.96,277.95
95,166.11,194.30,230.09,345.07,574.25,589.37,601.17,613.20,625.47,278.93
96,168.56,195.20,236.67,351.16,578.75,590.33,602.14,614.20,626.49,287.55
97,169.42,196.29,242.39,352.19,590.92,602.75,614.81,627.11,639.67,292.43
98,170.28,197.29,243.38,353.22,604.75,616.86,629.21,641.80,654.64,293.43
99,171.14,198.28,249.12,373.78,615.15,644.61,664.85,678.16,691.73,300.09
100,172.00,215.00,276.00,394.00,625.00,714.00,736.00,751.00,767.00,332.00
101,173.72,217.15,278.76,397.94,631.25,721.14,743.36,758.51,774.67,335.32
102,175.44,219.30,281.52,401.88,637.50,728.28,750.72,766.02,782.34,338.64
103,177.16,221.45,284.28,405.82,643.75,735.42,758.08,773.53,790.01,341.96
104,178.88,223.60,287.04,409.76,650.00,742.56,765.44,781.04,797.68,345.28
105,180.60,225.75,289.80,413.70,656.25,749.70,772.80,788.55,805.35,348.60
106,182.32,227.90,292.56,417.64,662.50,756.84,780.16,796.06,813.02,351.92
107,184.04,230.05,295.32,421.58,668.75,763.98,787.52,803.57,820.69,355.24
108,185.76,232.20,298.08,425.52,675.00,771.12,794.88,811.08,828.36,358.56
109,187.48,234.35,300.84,429.46,681.25,778.26,802.24,818.59,836.03,361.88
110,189.20,236.50,303.60,433.40,687.50,785.40,809.60,826.10,843.70,365.20
111,190.92,238.65,306.36,437.34,693.75,792.54,816.96,833.61,851.37,368.52
112,192.64,240.80,309.12,441.28,700.00,799.68,824.32,841.12,859.04,371.84
113,194.36,242.95,311.88,445.22,706.25,806.82,831.68,848.63,866.71,375.16
114,196.08,245.10,314.64,449.16,712.50,813.96,839.04,856.14,874.38,378.48
115,197.80,247.25,317.40,453.10,718.75,821.10,846.40,863.65,882.05,381.80
116,199.52,249.40,320.16,457.04,725.00,828.24,853.76,871.16,889.72,385.12
117,201.24,251.55,322.92,460.98,731.25,835.38,861.12,878.67,897.39,388.44
118,202.96,253.70,325.68,464.92,737.50,842.52,868.48,886.18,905.06,391.76
119,204.68,255.85,328.44,468.86,743.75,849.66,875.84,893.69,912.73,395.08
120,206.40,258.00,331.20,472.80,750.00,856.80,883.20,901.20,920.40,398.40
121,208.12,260.15,333.96,476.74,756.25,863.94,890.56,908.71,928.07,401.72
122,209.84,262.30,336.72,480.68,762.50,871.08,897.92,916.22,935.74,405.04
123,211.56,264.45,339.48,484.62,768.75,878.22,905.28,923.73,943.41,408.36
124,213.28,266.60,342.24,488.56,775.00,885.36,912.64,931.24,951.08,411.68
125,215.00,268.75,345.00,492.50,781.25,892.50,920.00,938.75,958.75,415.00
126,216.72,270.90,347.76,496.44,787.50,899.64,927.36,946.26,966.42,418.32
127,218.44,273.05,350.52,500.38,793.75,906.78,934.72,953.77,974.09,421.64
128,220.16,275.20,353.28,504.32,800.00,913.92,942.08,961.28,981.76,424.96
129,221.88,277.35,356.04,508.26,806.25,921.06,949.44,968.79,989.43,428.28
