312.00,436.80,790.80,915.60,934.80,"1,130.40","1,179.60","1,240.80"
314.60,440.44,797.39,923.23,942.59,"1,139.82","1,189.43","1,251.14"
317.20,444.08,803.98,930.86,950.38,"1,149.24","1,199.26","1,261.48"
319.80,447.72,810.57,938.49,958.17,"1,158.66","1,209.09","1,271.82"
322.40,451.36,817.16,946.12,965.96,"1,168.08","1,218.92","1,282.16"
325.00,455.00,823.75,953.75,973.75,"1,177.50","1,228.75","1,292.50"
327.60,458.64,830.34,961.38,981.54,"1,186.92","1,238.58","1,302.84"
330.20,462.28,836.93,969.01,989.33,"1,196.34","1,248.41","1,313.18"
332.80,465.92,843.52,976.64,997.12,"1,205.76","1,258.24","1,323.52"
335.40,469.56,850.11,984.27,"1,004.91","1,215.18","1,268.07","1,333.86"
338.00,473.20,856.70,991.90,"1,012.70","1,224.60","1,277.90","1,344.20"
340.60,476.84,863.29,999.53,"1,020.49","1,234.02","1,287.73","1,354.54"
343.20,480.48,869.88,"1,007.16","1,028.28","1,243.44","1,297.56","1,364.88"
345.80,484.12,876.47,"1,014.79","1,036.07","1,252.86","1,307.39","1,375.22"
348.40,487.76,883.06,"1,022.42","1,043.86","1,262.28","1,317.22","1,385.56"
351.00,491.40,889.65,"1,030.05","1,051.65","1,271.70","1,327.05","1,395.90"
353.60,495.04,896.24,"1,037.68","1,059.44","1,281.12","1,336.88","1,406.24"
356.20,498.68,902.83,"1,045.31","1,067.23","1,290.54","1,346.71","1,416.58"
358.80,502.32,909.42,"1,052.94","1,075.02","1,299.96","1,356.54","1,426.92"
361.40,505.96,916.01,"1,060.57","1,082.81","1,309.38","1,366.37","1,437.26"
364.00,509.60,922.60,"1,068.20","1,090.60","1,318.80","1,376.20","1,447.60"
366.60,513.24,929.19,"1,075.83","1,098.39","1,328.22","1,386.03","1,457.94"
369.20,516.88,935.78,"1,083.46","1,106.18","1,337.64","1,395.86","1,468.28"
371.80,520.52,942.37,"1,091.09","1,113.97","1,347.06","1,405.69","1,478.62"
374.40,524.16,948.96,"1,098.72","1,121.76","1,356.48","1,415.52","1,488.96"
377.00,527.80,955.55,"1,106.35","1,129.55","1,365.90","1,425.35","1,499.30"
379.60,531.44,962.14,"1,113.98","1,137.34","1,375.32","1,435.18","1,509.64"
382.20,535.08,968.73,"1,121.61","1,145.13","1,384.74","1,445.01","1,519.98"
384.80,538.72,975.32,"1,129.24","1,152.92","1,394.16","1,454.84","1,530.32"
387.40,542.36,981.91,"1,136.87","1,160.71","1,403.58","1,464.67","1,540.66"
390.00,546.00,988.50,"1,144.50","1,168.50","1,413.00","1,474.50","1,551.00"
